half_hour,freq,activity
0,21725.0,All
1,21725.0,All
2,21728.0,All
3,21727.0,All
4,21725.0,All
5,21726.0,All
6,21725.0,All
7,21730.0,All
8,21730.0,All
9,21736.0,All
10,21734.0,All
11,21793.0,All
12,21916.0,All
13,22140.0,All
14,22101.0,All
15,22764.0,All
16,22734.0,All
17,22014.0,All
18,22171.0,All
19,21999.0,All
20,22557.0,All
21,21849.0,All
22,22746.0,All
23,22117.0,All
24,22976.0,All
25,22251.0,All
26,22947.0,All
27,22286.0,All
28,23076.0,All
29,22297.0,All
30,23233.0,All
31,22423.0,All
32,23651.0,All
33,22523.0,All
34,22962.0,All
35,22347.0,All
36,22855.0,All
37,22315.0,All
38,22560.0,All
39,22120.0,All
40,22291.0,All
41,21965.0,All
42,22141.0,All
43,21891.0,All
44,21963.0,All
45,21794.0,All
46,21847.0,All
47,21851.0,All
0,21725.0,Home
1,21724.0,Home
2,21723.0,Home
3,21719.0,Home
4,21719.0,Home
5,21719.0,Home
6,21718.0,Home
7,21715.0,Home
8,21708.0,Home
9,21680.0,Home
10,21611.0,Home
11,21426.0,Home
12,21001.0,Home
13,20035.0,Home
14,18724.0,Home
15,16963.0,Home
16,14516.0,Home
17,12786.0,Home
18,11908.0,Home
19,10958.0,Home
20,10277.0,Home
21,8854.0,Home
22,8541.0,Home
23,7474.0,Home
24,7488.0,Home
25,6913.0,Home
26,7138.0,Home
27,6787.0,Home
28,7199.0,Home
29,7327.0,Home
30,8202.0,Home
31,8833.0,Home
32,10320.0,Home
33,11521.0,Home
34,12960.0,Home
35,14022.0,Home
36,15167.0,Home
37,15988.0,Home
38,16939.0,Home
39,17663.0,Home
40,18465.0,Home
41,19070.0,Home
42,19739.0,Home
43,20303.0,Home
44,20812.0,Home
45,21152.0,Home
46,21443.0,Home
47,21725.0,Home
0,0.0,Work
1,1.0,Work
2,3.0,Work
3,4.0,Work
4,4.0,Work
5,4.0,Work
6,4.0,Work
7,12.0,Work
8,18.0,Work
9,47.0,Work
10,100.0,Work
11,302.0,Work
12,733.0,Work
13,1680.0,Work
14,2527.0,Work
15,3807.0,Work
16,4850.0,Work
17,5378.0,Work
18,5675.0,Work
19,5791.0,Work
20,5861.0,Work
21,5872.0,Work
22,5885.0,Work
23,5905.0,Work
24,5867.0,Work
25,5684.0,Work
26,5670.0,Work
27,5596.0,Work
28,5586.0,Work
29,5418.0,Work
30,5331.0,Work
31,4982.0,Work
32,4731.0,Work
33,3660.0,Work
34,3012.0,Work
35,2186.0,Work
36,1735.0,Work
37,1237.0,Work
38,986.0,Work
39,694.0,Work
40,564.0,Work
41,441.0,Work
42,387.0,Work
43,252.0,Work
44,177.0,Work
45,90.0,Work
46,54.0,Work
47,13.0,Work
0,0.0,Other
1,0.0,Other
2,2.0,Other
3,4.0,Other
4,2.0,Other
5,3.0,Other
6,3.0,Other
7,3.0,Other
8,4.0,Other
9,9.0,Other
10,23.0,Other
11,64.0,Other
12,172.0,Other
13,386.0,Other
14,720.0,Other
15,1235.0,Other
16,1699.0,Other
17,1993.0,Other
18,2604.0,Other
19,3193.0,Other
20,4304.0,Other
21,4994.0,Other
22,6186.0,Other
23,6606.0,Other
24,7471.0,Other
25,7554.0,Other
26,8048.0,Other
27,7895.0,Other
28,8324.0,Other
29,7815.0,Other
30,8102.0,Other
31,7379.0,Other
32,7518.0,Other
33,6605.0,Other
34,6425.0,Other
35,5761.0,Other
36,5671.0,Other
37,4919.0,Other
38,4522.0,Other
39,3699.0,Other
40,3221.0,Other
41,2428.0,Other
42,1998.0,Other
43,1324.0,Other
44,963.0,Other
45,545.0,Other
46,346.0,Other
47,112.0,Other
0,0.0,School
1,0.0,School
2,0.0,School
3,0.0,School
4,0.0,School
5,0.0,School
6,0.0,School
7,0.0,School
8,0.0,School
9,0.0,School
10,0.0,School
11,1.0,School
12,10.0,School
13,39.0,School
14,130.0,School
15,759.0,School
16,1669.0,School
17,1857.0,School
18,1984.0,School
19,2057.0,School
20,2115.0,School
21,2129.0,School
22,2134.0,School
23,2132.0,School
24,2150.0,School
25,2100.0,School
26,2091.0,School
27,2008.0,School
28,1967.0,School
29,1737.0,School
30,1598.0,School
31,1229.0,School
32,1082.0,School
33,737.0,School
34,565.0,School
35,378.0,School
36,282.0,School
37,171.0,School
38,113.0,School
39,64.0,School
40,41.0,School
41,26.0,School
42,17.0,School
43,12.0,School
44,11.0,School
45,7.0,School
46,4.0,School
47,1.0,School
