class,subclass,count,category,Keep
amenity,bench,19100,Outdoor Recreation,1
amenity,shelter,13586,Outdoor Recreation,1
amenity,parking,12141,Transportation,0
amenity,restaurant,9399,Food and Drink,1
amenity,waste_basket,9247,Home and Living,0
tourism,information,8739,Tourism,1
amenity,bicycle_parking,6380,Transportation,0
leisure,picnic_table,5408,Outdoor Recreation,1
leisure,playground,4932,Outdoor Recreation,1
amenity,post_box,4862,Home and Living,0
amenity,toilets,4803,Healthcare,0
amenity,place_of_worship,4530,Religious Places,1
amenity,cafe,3833,Food and Drink,1
amenity,fast_food,3815,Food and Drink,1
amenity,recycling,3538,Home and Living,0
amenity,fuel,3189,Automotive Services,0
amenity,charging_station,3117,Transportation,0
shop,supermarket,2998,Groceries and Food,1
shop,hairdresser,2649,Health and Beauty,1
tourism,picnic_site,2465,Outdoor Recreation,1
leisure,firepit,2356,Outdoor Recreation,1
tourism,artwork,2338,Artisan Workshops,1
shop,clothes,2152,Fashion and Accessories,1
tourism,viewpoint,1997,Tourism,1
amenity,vending_machine,1873,Groceries and Food,1
leisure,sports_centre,1868,Sports and Activities,1
shop,convenience,1734,Groceries and Food,1
amenity,school,1580,Education,1
amenity,bbq,1579,Food and Drink,1
tourism,hotel,1473,Tourism,1
historic,archaeological_site,1422,Historic,1
amenity,kindergarten,1350,Education,1
office,company,1326,Office,1
amenity,parking_entrance,1322,Transportation,0
tourism,chalet,1289,Leisure,1
tourism,museum,1092,Leisure,1
amenity,atm,1073,Financial Services,0
tourism,attraction,1016,Entertainment,1
amenity,community_centre,998,Recreation,1
shop,kiosk,988,Groceries and Food,1
leisure,swimming_area,971,Outdoor Recreation,1
amenity,pharmacy,936,Healthcare,1
shop,car_repair,914,Automotive Services,1
amenity,clinic,892,Healthcare,1
leisure,marina,867,Recreation,1
historic,boundary_stone,817,Historic,1
amenity,hunting_stand,780,Outdoor Recreation,1
leisure,fitness_centre,771,Sports and Activities,1
shop,car,754,Automotive Services,1
amenity,bank,749,Financial Services,1
amenity,ferry_terminal,747,Transportation,0
tourism,hostel,746,Tourism,1
amenity,social_facility,740,Healthcare,1
historic,memorial,724,Historic,1
amenity,library,716,Education,1
amenity,drinking_water,685,Healthcare,0
leisure,slipway,681,Transportation,0
shop,doityourself,637,Craft,1
shop,florist,610,Craft,1
tourism,camp_site,596,Outdoor Recreation,1
amenity,pub,588,Food and Drink,1
amenity,waste_disposal,585,Home and Living,0
historic,yes,585,Historic,1
amenity,fountain,564,Outdoor Recreation,1
historic,ruins,557,Historic,1
amenity,dentist,541,Healthcare,1
shop,beauty,536,Health and Beauty,1
amenity,car_wash,535,Automotive Services,1
tourism,camp_pitch,533,Outdoor Recreation,1
shop,bakery,532,Food and Drink,1
shop,bicycle,471,Sports and Activities,1
amenity,fire_station,469,Emergency Services,0
emergency,life_ring,468,Emergency Services,0
amenity,sanitary_dump_station,432,Home and Living,0
office,estate_agent,426,Financial Services,1
shop,optician,426,Healthcare,1
leisure,pitch,423,Sports and Activities,1
shop,furniture,422,Home and Living,1
amenity,compressed_air,418,Automotive Services,0
leisure,fitness_station,412,Sports and Activities,1
shop,electronics,407,Home and Living,1
tourism,guest_house,406,Tourism,1
tourism,wilderness_hut,396,Outdoor Recreation,1
shop,alcohol,391,Food and Drink,1
shop,sports,387,Sports and Activities,1
shop,second_hand,370,Home and Living,1
shop,shoes,364,Fashion and Accessories,1
amenity,public_bath,357,Health and Beauty,1
amenity,bar,351,Food and Drink,1
shop,yes,344,Shop,1
amenity,theatre,330,Entertainment,1
shop,jewelry,327,Fashion and Accessories,1
shop,interior_decoration,326,Home and Living,1
amenity,post_office,324,Office,1
historic,rune_stone,319,Historic,1
amenity,bicycle_rental,309,Transportation,0
shop,mall,302,Food and Drink,1
shop,hardware,297,Home and Living,1
leisure,bird_hide,291,Outdoor Recreation,1
leisure,bathing_place,290,Outdoor Recreation,1
emergency,fire_hydrant,281,Emergency Services,0
shop,books,280,Education,1
amenity,shower,279,Health and Beauty,1
emergency,defibrillator,276,Healthcare,0
amenity,cinema,265,Entertainment,1
office,association,257,Office,1
amenity,grit_bin,256,Transportation,0
shop,vacant,251,Shop,1
shop,confectionery,246,Food and Drink,1
shop,gift,242,Craft,1
amenity,townhall,232,Office,1
office,government,232,Office,1
amenity,parking_space,229,Transportation,0
shop,pet,228,Healthcare,1
historic,castle,226,Historic,1
shop,garden_centre,222,Home and Living,1
amenity,police,220,Emergency Services,0
shop,charity,217,Financial Services,1
shop,paint,212,Artisan Workshops,1
amenity,ice_cream,209,Food and Drink,1
shop,massage,209,Health and Beauty,1
shop,dry_cleaning,207,Home and Living,1
amenity,public_building,206,Office,1
amenity,loading_dock,203,Transportation,0
office,yes,203,Office,1
shop,variety_store,200,Groceries and Food,1
tourism,caravan_site,200,Outdoor Recreation,1
leisure,sauna,198,Health and Beauty,1
amenity,taxi,196,Transportation,0
amenity,vehicle_inspection,193,Automotive Services,1
amenity,driving_school,189,Education,1
shop,tyres,178,Automotive Services,1
amenity,bus_station,174,Transportation,0
amenity,doctors,174,Healthcare,1
shop,farm,174,Outdoor Recreation,1
amenity,veterinary,173,Healthcare,1
historic,building,170,Office,1
historic,monument,170,Historic,1
sport,swimming,170,Sports and Activities,1
historic,milestone,168,Historic,1
shop,antiques,168,Craft,1
shop,toys,165,Craft,1
shop,mobile_phone,164,Shop,1
amenity,car_rental,163,Transportation,1
historic,mine,150,Recreation,1
leisure,sports_hall,149,Indoor Sports,1
shop,seafood,144,Food and Drink,1
amenity,motorcycle_parking,142,Transportation,0
shop,funeral_directors,142,Healthcare,1
historic,manor,139,Historic,1
shop,art,139,Artisan Workshops,1
shop,craft,138,Artisan Workshops,1
office,diplomatic,136,Office,1
amenity,parcel_locker,132,Transportation,0
shop,department_store,132,Fashion and Accessories,1
amenity,boathouse,131,Recreation,0
shop,car_parts,131,Automotive Services,0
shop,deli,128,Food and Drink,1
shop,bed,125,Home and Living,1
shop,cosmetics,125,Health and Beauty,1
leisure,water_park,116,Recreation,1
amenity,social_centre,114,Recreation,1
shop,houseware,114,Home and Living,1
tourism,gallery,114,Artisan Workshops,1
amenity,clock,106,Historic,1
shop,computer,106,Shop,1
amenity,bicycle_repair_station,105,Automotive Services,1
shop,tattoo,104,Health and Beauty,1
leisure,dance,102,Entertainment,1
shop,outdoor,101,Outdoor Recreation,1
amenity,letter_box,100,Transportation,0
amenity,water_point,100,Outdoor Recreation,1
leisure,swimming_pool,100,Recreation,1
historic,stone,99,Artisan Workshops,1
shop,kitchen,98,Home and Living,1
shop,agrarian,97,Outdoor Recreation,1
amenity,childcare,96,Education,1
amenity,university,94,Education,1
office,it,94,Office,1
shop,fabric,94,Fashion and Accessories,1
amenity,nightclub,91,Entertainment,1
amenity,boat_rental,89,Recreation,0
amenity,boat_storage,86,Recreation,0
sport,climbing,86,Sports and Activities,1
leisure,miniature_golf,84,Sports and Activities,1
office,logistics,84,Transportation,1
tourism,alpine_hut,83,Outdoor Recreation,1
leisure,park,81,Outdoor Recreation,1
shop,travel_agency,81,Tourism,1
leisure,fishing,80,Outdoor Recreation,1
shop,watches,80,Fashion and Accessories,1
amenity,arts_centre,79,Entertainment,1
shop,greengrocer,79,Groceries and Food,1
amenity,college,78,Education,1
shop,ticket,77,Entertainment,1
amenity,bureau_de_change,76,Financial Services,1
leisure,ice_rink,76,Sports and Activities,1
office,educational_institution,76,Education,1
shop,appliance,76,Home and Living,1
shop,trade,76,Shop,1
tourism,yes,76,Tourism,1
amenity,dressing_room,75,Fashion and Accessories,1
historic,tomb,75,Historic,1
shop,laundry,75,Home and Living,1
shop,butcher,74,Groceries and Food,1
amenity,nursing_home,73,Healthcare,1
shop,motorcycle,72,Automotive Services,1
leisure,horse_riding,71,Sports and Activities,1
leisure,stadium,70,Sports and Activities,1
shop,hifi,65,Home and Living,1
leisure,disc_golf_course,63,Outdoor Recreation,1
shop,music,63,Entertainment,1
shop,stationery,63,Office,1
shop,photo,62,Artisan Workshops,1
amenity,courthouse,61,Office,1
emergency,phone,61,Office,0
craft,metal_construction,60,Artisan Workshops,1
craft,carpenter,59,Artisan Workshops,1
emergency,fire_extinguisher,59,Emergency Services,0
amenity,hospital,58,Healthcare,1
craft,electrician,58,Artisan Workshops,1
historic,cannon,58,Historic,1
office,employment_agency,57,Office,1
shop,tailor,56,Artisan Workshops,1
craft,brewery,55,Food and Drink,1
craft,glaziery,55,Artisan Workshops,1
amenity,events_venue,54,Entertainment,1
shop,tobacco,54,Groceries and Food,1
tourism,apartment,53,Tourism,1
shop,musical_instrument,52,Artisan Workshops,1
shop,pastry,52,Food and Drink,1
historic,wreck,51,Historic,1
leisure,beach_resort,51,Tourism,1
leisure,outdoor_seating,51,Food and Drink,1
office,lawyer,51,Office,1
amenity,trolley_bay,50,Transportation,0
craft,shoemaker,50,Artisan Workshops,1
leisure,dog_park,49,Outdoor Recreation,1
office,insurance,49,Financial Services,1
office,political_party,48,Office,1
office,religion,48,Religious Places,1
shop,boat,48,Transportation,0
shop,health_food,48,Groceries and Food,1
shop,locksmith,47,Home and Living,1
shop,video,47,Entertainment,1
tourism,motel,46,Tourism,1
historic,fort,45,Historic,1
leisure,tanning_salon,45,Health and Beauty,1
craft,sawmill,44,Artisan Workshops,1
shop,tea,44,Food and Drink,1
sport,disc_golf,44,Sports and Activities,1
office,newspaper,43,Office,1
shop,lighting,43,Home and Living,1
